time,gaze_x,gaze_y,gaze_z,cam_x,cam_y,cam_z,cam_qx,cam_qy,cam_qz,cam_qw,gaze_o_x,gaze_o_y,gaze_o_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,p0Id,p0_x,p0_y,p0_z,p1Id,p1_x,p1_y,p1_z
PREF,CourseWidth,13
PREF,SlopeAngle,8
PREF,PlayerFSpeed,95
PREF,PlayerHSpeed,8
PREF,CameraHeight,3
PREF,SubjectID,12
PREF,Method,4
PREF,RandomSeed,9
PREF,ThresholdAngleDeg,4.14
PREF,Blur_OuterRad,140
PREF,Blur_MaxSigmaPx,0.8000001
PREF,"SnowPlaneNormal",0,0.9902681,0.1391731
PREF,"SnowPlanePoint",0,-56.21634,400
START_REL_SEC,0
27.08313,-11.48011,-20.22739,144.2847,-2.95809,2.992836,-0.01025444,-0.009947863,-0.00565327,0.05290453,-0.9985341,-2.838636,2.994752,-0.005514979,-0.05902557,-0.1586188,0.9855739,18,-5.7,-7.804649,71.18672,19,0.7,-25.89712,199.9215
27.11093,-10.43679,-19.64576,140.1462,-3.35103,2.989708,-0.01127314,-0.009572871,-0.006667111,0.05298693,-0.9985271,-3.241079,2.994123,-0.007867813,-0.05061945,-0.1592641,0.9859375,18,-5.7,-7.437088,68.57139,19,0.7,-25.52956,197.3062
27.13873,-10.045,-19.74938,140.8835,-3.737832,2.985856,-0.0116721,-0.007004602,-0.007403858,0.0532087,-0.9985314,-3.637751,2.992167,-0.009644151,-0.04484967,-0.1591872,0.9862291,18,-5.7,-7.069691,65.95722,19,0.7,-25.16216,194.692
27.1666,-11.10332,-19.39276,138.346,-4.122193,2.980732,-0.01178038,-0.004306087,-0.008177016,0.05535074,-0.9984242,-4.031682,2.988857,-0.01090527,-0.05039156,-0.1594885,0.9859129,18,-5.7,-6.701461,63.33713,19,0.7,-24.79394,192.0719
27.19455,-11.43835,-19.39275,138.3459,-4.499107,2.975488,-0.01156781,-0.003883689,-0.007540409,0.05537122,-0.9984298,-4.366716,2.988857,-0.01090527,-0.05039156,-0.1594885,0.9859129,18,-5.7,-6.331577,60.70527,19,0.7,-24.42405,189.44
27.22226,-12.5159,-22.23275,158.5536,-4.865888,2.969957,-0.01072183,-0.004202076,-0.006472133,0.05567553,-0.9984191,-4.744385,2.983975,-0.01164806,-0.04834659,-0.1568733,0.9864347,18,-5.7,-5.965438,58.10006,19,0.7,-24.05791,186.8348
27.25009,-12.85,-22.29037,161.3155,-5.223886,2.962489,-0.00959212,-0.007592496,-0.006012554,0.05706452,-0.9983235,-5.113405,2.978089,-0.01179981,-0.04732518,-0.1545686,0.9868479,18,-5.7,-5.597219,55.48004,19,0.7,-23.68969,184.2148
27.27798,-12.85,-21.03373,152.2474,-5.573524,2.95488,-0.008039847,-0.007871204,-0.006315906,0.0585068,-0.998236,-5.473739,2.971515,-0.01115072,-0.04779982,-0.1555594,0.9866694,18,-5.7,-5.228613,52.85728,19,0.7,-23.32109,181.5921
27.30576,-9.567509,-15.12033,107.946,-5.915004,2.947422,-0.006427569,-0.007890803,-0.005962953,0.05792802,-0.9982718,-5.825445,2.96361,-0.00993371,-0.03416657,-0.1651138,0.9856825,18,-5.7,-4.861377,50.24426,19,0.7,-22.95385,178.979
27.33368,-9.387689,-14.21318,101.4914,-6.246855,2.937921,-0.004793262,-0.007696598,-0.005961727,0.05828201,-0.9982527,-6.167277,2.95494,-0.008222103,-0.03126865,-0.1666943,0.9855127,18,-5.7,-4.492322,47.6183,19,0.7,-22.5848,176.3531
27.36145,-9.670215,-14.21318,101.4913,-6.564696,2.928834,-0.002853923,-0.008859104,-0.006117944,0.05697875,-0.9983174,-6.449802,2.95494,-0.008222103,-0.03126865,-0.1666943,0.9855127,18,-5.7,-4.124862,45.00368,19,0.7,-22.21734,173.7384
27.38931,-10.54819,-17.15751,122.4413,-6.869718,2.918847,-0.0008405893,-0.01095007,-0.005959373,0.05468403,-0.9984258,-6.766281,2.945233,-0.006295323,-0.03046375,-0.1619302,0.9863319,18,-5.7,-3.756533,42.38288,19,0.7,-21.84901,171.1177
27.41714,-10.18477,-15.66479,111.8201,-7.157515,2.909185,0.001382465,-0.01323632,-0.004954483,0.05161018,-0.9985673,-7.06574,2.934529,-0.004167795,-0.02750388,-0.1640103,0.9860751,18,-5.7,-3.388516,39.76431,19,0.7,-21.48099,168.4991
27.44498,-9.062606,-15.56005,111.0748,-7.432374,2.899068,0.003865642,-0.01362131,-0.004403163,0.04997955,-0.9986476,-7.351751,2.923128,-0.001875401,-0.01519177,-0.1641242,0.9863227,18,-5.7,-3.020661,37.14688,19,0.7,-21.11314,165.8817
27.47287,-7.975124,-20.03741,142.9329,-7.677859,2.890864,0.006903495,-0.01552557,-0.002440714,0.04531093,-0.9988494,-7.609461,2.911429,0.0006546974,-0.00252592,-0.1585267,0.9873515,18,-5.7,-2.651809,34.52237,19,0.7,-20.74429,163.2571
