SubjectID,rateTimeP0,rateTimeP1,rateTimeS0,rateTimeS1,rateTimeOther,passRate,longRate,tightRate,mean_minDistToFlag,mean_lastRiseSec,mean_p1Duration,mean_p1CountPerSection
1,0.291816,0.681621,0.000140,0.000430,0.025993,99.285715,99.285715,100.000000,2.719659,0.629629,0.567151,1.742647
2,0.516004,0.415988,0.000000,0.000861,0.067147,29.516805,29.516805,11.666664,4.155466,0.563494,0.436723,1.352941
3,0.489999,0.482639,0.001135,0.002691,0.023536,95.000002,95.000002,91.666670,2.028715,0.617462,0.473290,1.492647
4,0.710867,0.267024,0.001417,0.003252,0.017439,97.142860,97.142860,95.000005,1.870967,0.285888,0.240120,1.610294
5,0.520934,0.462810,0.000756,0.000190,0.015310,100.000000,100.000000,100.000000,2.258827,0.319316,0.310879,2.166667
6,0.340400,0.634207,0.001279,0.000562,0.023553,100.000000,100.000000,100.000000,2.680091,0.612888,0.458821,2.007353
7,0.692239,0.271080,0.007255,0.011948,0.017478,99.285715,99.285715,100.000000,1.935278,0.226633,0.223734,1.720588
8,0.463198,0.496475,0.004961,0.013772,0.021593,100.000000,100.000000,100.000000,3.108657,0.374018,0.374648,1.919118
9,0.749062,0.174226,0.006955,0.038980,0.030778,85.714288,85.714288,76.666665,3.208870,0.372367,0.183299,1.367647
10,0.672688,0.244201,0.039723,0.026086,0.017302,97.857145,97.857145,95.000005,2.116515,0.216258,0.197981,1.786765
11,0.773304,0.202522,0.001138,0.009550,0.013486,94.285712,94.285712,93.333335,2.198270,0.245043,0.227302,1.286765
12,0.397993,0.531492,0.002410,0.008521,0.059585,100.000000,100.000000,100.000000,2.672373,0.483367,0.370041,2.088235
