SubjectID,rateTimeP0,rateTimeP1,rateTimeS0,rateTimeS1,rateTimeOther,passRate,longRate,tightRate,mean_minDistToFlag,mean_lastRiseSec,mean_p1Duration,mean_p1CountPerSection
1,0.396515,0.538099,0.000000,0.001492,0.063894,97.857142,97.857142,95.000000,3.241136,0.556070,0.452322,1.735294
2,0.670045,0.282610,0.003190,0.012215,0.031940,37.457982,37.457982,21.666667,3.989200,0.402375,0.337627,1.213235
3,0.764278,0.151446,0.018735,0.022604,0.042938,83.571430,83.571430,63.333338,2.534398,0.510611,0.180172,1.220588
4,0.646555,0.309220,0.004040,0.025178,0.015005,91.428570,91.428570,85.000000,2.509380,0.293570,0.239179,1.860294
5,0.508443,0.473575,0.002267,0.000000,0.015715,98.095240,98.095240,100.000000,2.676600,0.553561,0.488767,1.392157
6,0.365200,0.610637,0.001593,0.007037,0.015534,88.571427,88.571427,85.000000,3.072647,0.462212,0.427398,2.080882
7,0.706214,0.241204,0.014941,0.023811,0.013830,93.571430,93.571430,85.000000,2.445317,0.305337,0.211285,1.647059
8,0.689100,0.266760,0.001495,0.021272,0.021374,100.000000,100.000000,100.000000,3.383613,0.279763,0.270030,1.433824
9,0.638152,0.242626,0.003003,0.005767,0.110451,72.142855,72.142855,61.666668,3.709364,0.656473,0.263024,1.330882
10,0.750515,0.162662,0.034622,0.027109,0.025093,92.142858,92.142858,85.000005,2.781767,0.269068,0.186428,1.257353
11,0.736317,0.229529,0.004481,0.010282,0.019391,92.857142,92.857142,85.000000,2.958896,0.320622,0.284510,1.161765
12,0.676478,0.191150,0.014164,0.067417,0.050792,98.285714,98.285714,96.000000,3.054820,0.396987,0.226297,1.223529
