SubjectID,rateTimeP0,rateTimeP1,rateTimeS0,rateTimeS1,rateTimeOther,passRate,longRate,tightRate,mean_minDistToFlag,mean_lastRiseSec,mean_p1Duration,mean_p1CountPerSection
1,0.049419,0.882548,0.000000,0.001910,0.066124,100.000000,100.000000,100.000000,3.071241,1.289036,1.168965,1.095588
2,0.489986,0.462034,0.002358,0.015437,0.030185,42.857143,42.857143,23.333333,3.347722,0.577487,0.393778,1.691176
3,0.377006,0.589098,0.004054,0.004697,0.025144,95.714285,95.714285,93.333335,2.581331,0.782514,0.560826,1.514706
4,0.387285,0.559206,0.001271,0.012553,0.039686,94.285715,94.285715,86.666670,2.370060,0.706576,0.467415,1.727941
5,0.423897,0.547961,0.000000,0.000849,0.027292,97.142857,97.142857,96.666670,2.733910,0.662071,0.543494,1.455882
6,0.466857,0.471719,0.001287,0.004924,0.055212,81.428573,81.428573,73.333338,2.836667,0.520773,0.410747,1.647059
7,0.040655,0.345425,0.000000,0.002553,0.611367,96.428570,96.428570,93.333335,2.437533,0.991375,0.687975,0.735294
8,0.500001,0.443788,0.000698,0.002681,0.052832,99.285715,99.285715,98.333335,3.701727,0.566997,0.461911,1.397059
9,0.684166,0.206327,0.004348,0.051721,0.053438,93.571427,93.571427,90.000000,3.393832,0.493918,0.230570,1.294118
10,0.629280,0.280288,0.012117,0.048345,0.029970,97.857142,97.857142,98.333335,2.761771,0.433829,0.273465,1.500000
11,0.681084,0.242284,0.011445,0.048264,0.016923,83.571433,83.571433,74.999998,2.974543,0.490549,0.279433,1.242647
12,0.555293,0.251277,0.023045,0.092888,0.077498,96.428570,96.428570,91.666665,3.165414,0.592947,0.244993,1.448529
