time,flag_id,flag_x,flag_y,flag_z,o_x,o_y,o_z,target_dir_x,target_dir_y,target_dir_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,err_deg
0.8994141,-1,NaN,NaN,NaN,-0.00976707,2.996029,0.02073586,NaN,NaN,NaN,-0.01631943,-0.117873,0.9928945,NaN
0.9231567,-1,NaN,NaN,NaN,-0.01222458,2.996029,0.02073586,NaN,NaN,NaN,-0.01631943,-0.117873,0.9928945,NaN
0.9411621,-1,NaN,NaN,NaN,-0.0137631,2.996034,0.02090514,NaN,NaN,NaN,-0.01836597,-0.1201851,0.9925816,NaN
0.9649048,-1,NaN,NaN,NaN,-0.01644859,2.996084,0.0210582,NaN,NaN,NaN,-0.01613408,-0.1212679,0.9924887,NaN
0.9825439,-1,NaN,NaN,NaN,-0.01750143,2.996084,0.0210582,NaN,NaN,NaN,-0.01613408,-0.1212679,0.9924887,NaN
1.006653,-1,NaN,NaN,NaN,-0.0198819,2.996165,0.02110016,NaN,NaN,NaN,-0.01583246,-0.1202806,0.9926137,NaN
1.024475,-1,NaN,NaN,NaN,-0.02067038,2.996165,0.02110016,NaN,NaN,NaN,-0.01583246,-0.1202806,0.9926137,NaN
1.048584,-1,NaN,NaN,NaN,-0.02288727,2.996194,0.02107882,NaN,NaN,NaN,-0.01540125,-0.1175046,0.9929529,NaN
1.06604,-1,NaN,NaN,NaN,-0.0241193,2.996256,0.02101636,NaN,NaN,NaN,-0.01312907,-0.1127947,0.9935316,NaN
1.090454,-1,NaN,NaN,NaN,-0.02569279,2.996256,0.02101636,NaN,NaN,NaN,-0.01312907,-0.1127947,0.9935316,NaN
1.108032,-1,NaN,NaN,NaN,-0.02646783,2.996364,0.02095163,NaN,NaN,NaN,-0.01528799,-0.1130642,0.9934701,NaN
1.131958,-1,NaN,NaN,NaN,-0.02777606,2.996413,0.02095866,NaN,NaN,NaN,-0.01456544,-0.1121379,0.9935859,NaN
