SubjectID,rateTimeP0,rateTimeP1,rateTimeS0,rateTimeS1,rateTimeOther,passRate,longRate,tightRate,mean_minDistToFlag,mean_lastRiseSec,mean_p1Duration,mean_p1CountPerSection
1,0.302787,0.403071,0.000637,0.012147,0.281358,97.857142,97.857142,95.000000,3.241136,0.688012,0.343460,1.698529
2,0.587553,0.247453,0.018123,0.055413,0.091457,37.457982,37.457982,21.666667,3.989200,0.367442,0.313839,1.132353
3,0.646025,0.084537,0.050308,0.084819,0.134312,83.571430,83.571430,63.333338,2.534398,0.621091,0.167482,0.683824
4,0.438427,0.199240,0.129778,0.201225,0.031330,91.428570,91.428570,85.000000,2.509380,0.498484,0.193315,1.470588
5,0.387092,0.402633,0.005105,0.001138,0.204032,98.095240,98.095240,100.000000,2.676600,0.474917,0.368440,1.558824
6,0.200955,0.329461,0.190979,0.226872,0.051734,88.571427,88.571427,85.000000,3.072647,0.443177,0.223213,2.125000
7,0.196098,0.026611,0.436280,0.319686,0.021325,93.571430,93.571430,85.000000,2.445317,0.435845,0.097278,0.397059
8,0.531122,0.215483,0.072866,0.144420,0.036109,100.000000,100.000000,100.000000,3.383613,0.245448,0.219235,1.433824
9,0.265159,0.120998,0.003635,0.013666,0.596542,72.142855,72.142855,61.666668,3.709364,0.690892,0.180599,0.941176
10,0.498644,0.111125,0.160536,0.169816,0.059879,92.142858,92.142858,85.000005,2.781767,0.216336,0.154228,1.036765
11,0.622816,0.193601,0.013838,0.080036,0.089710,92.857142,92.857142,85.000000,2.958896,0.304341,0.269772,1.044118
12,0.488989,0.107767,0.037788,0.222669,0.142787,98.285714,98.285714,96.000000,3.054820,0.421276,0.188020,0.823529
