SubjectID,rateTimeP0,rateTimeP1,rateTimeS0,rateTimeS1,rateTimeOther,passRate,longRate,tightRate,mean_minDistToFlag,mean_lastRiseSec,mean_p1Duration,mean_p1CountPerSection
1,0.110969,0.768803,0.000942,0.008295,0.110991,100.000000,100.000000,100.000000,3.071241,0.748921,0.661721,1.683824
2,0.567947,0.258944,0.005557,0.046902,0.120650,42.857143,42.857143,23.333333,3.347722,0.359893,0.299976,1.227941
3,0.475093,0.430650,0.009163,0.015127,0.069968,95.714285,95.714285,93.333335,2.581331,0.543436,0.448147,1.397059
4,0.538631,0.291305,0.007649,0.046373,0.116043,94.285715,94.285715,86.666670,2.370060,0.594978,0.273604,1.544118
5,0.442240,0.439911,0.000636,0.002561,0.114653,97.142857,97.142857,96.666670,2.733910,0.544393,0.481294,1.308824
6,0.336484,0.196039,0.005577,0.035835,0.426065,81.428573,81.428573,73.333338,2.836667,0.292272,0.175433,1.610294
7,0.010841,0.193317,0.001056,0.005535,0.789251,96.428570,96.428570,93.333335,2.437533,0.697554,0.303735,0.882353
8,0.364358,0.257933,0.001625,0.006007,0.370079,99.285715,99.285715,98.333335,3.701727,0.398322,0.272939,1.352941
9,0.607034,0.105077,0.028101,0.143987,0.115801,93.571427,93.571427,90.000000,3.393832,0.270494,0.175204,0.860294
10,0.584645,0.130799,0.026419,0.143020,0.115116,97.857142,97.857142,98.333335,2.761771,0.207689,0.171875,1.095588
11,0.651206,0.137028,0.034599,0.137127,0.040040,83.571433,83.571433,74.999998,2.974543,0.318910,0.211741,0.919118
12,0.460782,0.128053,0.042614,0.176572,0.191978,96.428570,96.428570,91.666665,3.165414,0.471114,0.181539,0.963235
