SubjectID,Condition,Phase,FileName,TotalValidTime,rateTimeP0,rateTimeP1,rateTimeS0,rateTimeS1,rateTimeOther,rateCntP0,rateCntP1
1,C,pre-test,gazepos_20260304_193242_1_0_10_before.csv,49.068911,0.24975064150088858,0.43266590937793614,0.0017120820146181613,0.02164568111161049,0.29422568599494664,0.9142857142857143,0.9142857142857143
1,C,pre-test,gazepos_20260304_193356_1_0_10_before.csv,49.078984000000005,0.32444536749171465,0.37306929581101417,0.010846394049233073,0.046714903470699336,0.24492403917733874,0.8857142857142857,0.9714285714285714
1,C,training,gazepos_20260304_193555_1_7_10.csv,49.096889,0.07467634049073862,0.7705804129463274,0.0,0.025495709106945784,0.12924753745598822,0.6285714285714286,0.9714285714285714
1,C,training,gazepos_20260304_193708_1_7_10.csv,49.082181999999996,0.034700331782315554,0.833766803602986,0.005459414986888625,0.010207777641181416,0.11586567198662844,0.3142857142857143,0.9714285714285714
1,C,training,gazepos_20260304_193818_1_7_10.csv,49.124238,0.07367365169104521,0.7803446437174252,0.0008466289085237179,0.011955808861605178,0.13317926682140077,0.45714285714285713,0.9714285714285714
1,C,training,gazepos_20260304_193931_1_7_10.csv,49.11151600000001,0.042059218860195646,0.8154153905572774,0.0,0.005944634248309426,0.1365807563342173,0.37142857142857144,0.9714285714285714
1,C,post-test,gazepos_20260304_194126_1_0_10_after.csv,49.073063000000005,0.09473364236505888,0.6885379459602917,0.0,0.00886311090872802,0.20786530076592127,0.5714285714285714,0.9714285714285714
1,C,post-test,gazepos_20260304_194238_1_0_10_after.csv,49.083314,0.10467569488074906,0.6122818846339517,0.0,0.03815757020807522,0.244884850277224,0.6857142857142857,0.9428571428571428
10,C,pre-test,gazepos_20260308_170512_10_0_9_before.csv,49.080471,0.5173159198085119,0.18752609362693345,0.06663301988279624,0.18525087096250595,0.04327409571925244,1.0,0.9142857142857143
10,C,pre-test,gazepos_20260308_170620_10_0_9_before.csv,49.072216,0.4869476446712745,0.16393109290193822,0.10979679417778869,0.20541391487191069,0.03391055337708799,1.0,0.8285714285714286
10,C,training,gazepos_20260308_170811_10_7_9.csv,49.109923,0.5148472743482001,0.1090215515100682,0.02525687120299495,0.14336656565313702,0.20750773728559962,1.0,0.6285714285714286
10,C,training,gazepos_20260308_170917_10_7_9.csv,49.069705,0.4912821057310212,0.13224524174335267,0.03864901979744927,0.1780833612103438,0.1597402715178331,1.0,0.7142857142857143
10,C,training,gazepos_20260308_171026_10_7_9.csv,49.134336000000005,0.49368486428716524,0.13199820182774022,0.023512071069811808,0.20178685227373422,0.14901801054154845,1.0,0.8
10,C,training,gazepos_20260308_171133_10_7_9.csv,48.535122,0.5217466229919023,0.08716965829404953,0.05168284113924763,0.21395914076408415,0.12544173681071624,1.0,0.5142857142857142
10,C,post-test,gazepos_20260308_171317_10_0_9_after.csv,49.076352,0.31872454578531056,0.11639426663171636,0.14827296046780367,0.3433692871059363,0.07323894000923314,1.0,0.8571428571428571
10,C,post-test,gazepos_20260308_171425_10_0_9_after.csv,49.080015,0.34114127715731246,0.14184091019532058,0.15064371924091718,0.31210375546951186,0.05427033793693792,1.0,0.8571428571428571
11,C,pre-test,gazepos_20260308_192021_11_0_8_before.csv,48.981994,0.6093822762707455,0.15094430414572327,0.04479360313506166,0.15923565708656193,0.03564415936190771,1.0,0.8
11,C,pre-test,gazepos_20260308_192129_11_0_8_before.csv,48.975467,0.5156965629342539,0.1823218551443319,0.07740428488410309,0.19639400273610508,0.028183294301205957,1.0,0.7714285714285715
11,C,training,gazepos_20260308_192359_11_7_8.csv,48.994448000000006,0.6144175968673021,0.13942657339460174,0.01939607524509691,0.13924994113618738,0.08750981335681175,1.0,0.5142857142857142
11,C,training,gazepos_20260308_192556_11_7_8.csv,48.437987,0.5739148903937734,0.18993623744108087,0.04037484051515192,0.15865141133961627,0.037122620310377615,1.0,0.7142857142857143
11,C,training,gazepos_20260308_192710_11_7_8.csv,48.974242,0.5874097244833311,0.08411131712870595,0.07502572474730727,0.21939526904775805,0.03405796459289764,1.0,0.6285714285714286
11,C,training,gazepos_20260308_192817_11_7_8.csv,48.441776999999995,0.5387098413008259,0.1430469406603313,0.056240566897452916,0.22469450284616918,0.03730814829522077,1.0,0.6571428571428571
11,C,post-test,gazepos_20260308_193040_11_0_8_after.csv,48.993046,0.5443413132549466,0.20207731113513572,0.0615214453087892,0.15070665334831373,0.041353276952814724,1.0,0.8285714285714286
11,C,post-test,gazepos_20260308_193149_11_0_8_after.csv,48.97619600000001,0.504315300436972,0.16540549617205888,0.08482224711776266,0.21950369522369562,0.025953261049510738,1.0,0.8
12,C,pre-test,gazepos_20260309_153649_12_0_8_before.csv,49.007106,0.4145267423054934,0.22552764082825055,0.047174301620666825,0.18370166563191875,0.12906964961367054,0.9714285714285714,0.7714285714285715
12,C,pre-test,gazepos_20260309_153808_12_0_8_before.csv,48.978878,0.39124689626414094,0.19999561851947711,0.037392036624440246,0.220211169394285,0.15115427919765675,0.9428571428571428,0.8
12,C,training,gazepos_20260309_153953_12_7_8.csv,49.022701999999995,0.3084081126332043,0.21220870281691104,0.08162432580725526,0.2164478000417036,0.18131105870092587,0.9714285714285714,0.8
12,C,training,gazepos_20260309_154101_12_7_8.csv,49.009889,0.4009678536509234,0.11005523803573594,0.034473654898504194,0.16178589998438883,0.29271735343044764,0.9142857142857143,0.5714285714285714
12,C,training,gazepos_20260309_154208_12_7_8.csv,49.008426,0.4260178443600698,0.08043416860602698,0.052026155665558495,0.20229533590815596,0.23922649546018868,1.0,0.4857142857142857
12,C,training,gazepos_20260309_154313_12_7_8.csv,49.02155,0.4971846463443113,0.04575540757075186,0.031298214764730915,0.20403353219145481,0.22172819912875108,1.0,0.45714285714285713
12,C,post-test,gazepos_20260309_154450_12_0_8_after.csv,48.97955,0.5078278383529456,0.07283856221627161,0.02648660512397514,0.19701265119830583,0.1958343431085017,1.0,0.6285714285714286
12,C,post-test,gazepos_20260309_154557_12_0_8_after.csv,48.989505,0.44595294441125694,0.11961374175958724,0.0499196715704716,0.214124841637,0.1703888006216842,0.9714285714285714,0.6285714285714286
2,C,pre-test,gazepos_20260304_215229_2_0_9_before.csv,48.529610999999996,0.49329169360125286,0.17226567095293674,0.12050675617408091,0.16853910079765544,0.045396778474074084,0.9428571428571428,0.8857142857142857
2,C,pre-test,gazepos_20260304_215342_2_0_9_before.csv,49.08703800000001,0.571417142749579,0.14684795199905942,0.05022741441437139,0.0779171071597354,0.15359038367725467,0.9714285714285714,0.8
2,C,training,gazepos_20260304_215547_2_7_9.csv,49.104490999999996,0.48308611935311546,0.3274732243940783,0.011926933526304194,0.07057254702019011,0.10694117570631195,1.0,0.9428571428571428
2,C,training,gazepos_20260304_215658_2_7_9.csv,49.089602,0.49657691256083164,0.3070552700753204,0.005962566166252333,0.05107150797433608,0.1393337432232595,0.9428571428571428,0.9428571428571428
2,C,training,gazepos_20260304_215812_2_7_9.csv,48.531675,0.5299898056269445,0.22797954119654856,0.005153335424750724,0.05863558181332054,0.17824173593843565,1.0,0.8
2,C,training,gazepos_20260304_215924_2_7_9.csv,48.53058,0.4902790364343473,0.17035050889562817,0.007760447124266762,0.05852048337357607,0.2730895241721818,0.9142857142857143,0.8
2,C,post-test,gazepos_20260304_220120_2_0_9_after.csv,49.086788,0.4428192979341004,0.17097696431064094,0.009019738671839658,0.06835688658219012,0.3088271125012289,0.9142857142857143,0.6857142857142857
2,C,post-test,gazepos_20260304_220231_2_0_9_after.csv,49.091311,0.5756710795521427,0.20840645302790986,0.008249300981185845,0.07549505043774404,0.13217811600101753,0.9714285714285714,0.7714285714285715
