SubjectID,rateTimeP0,rateTimeP1,rateTimeS0,rateTimeS1,rateTimeOther,passRate,longRate,tightRate,mean_minDistToFlag,mean_lastRiseSec,mean_p1Duration,mean_p1CountPerSection
1,0.119548,0.760224,0.000942,0.008295,0.110991,100.000000,100.000000,100.000000,3.071241,1.203684,0.947659,1.161765
2,0.562851,0.264039,0.005557,0.046902,0.120650,42.857143,42.857143,23.333333,3.347722,0.402991,0.290162,1.301471
3,0.491071,0.414672,0.009163,0.015127,0.069968,95.714285,95.714285,93.333335,2.581331,0.635934,0.478471,1.257353
4,0.537882,0.292054,0.007649,0.046373,0.116043,94.285715,94.285715,86.666670,2.370060,0.660272,0.287574,1.477941
5,0.456518,0.425633,0.000636,0.002561,0.114653,97.142857,97.142857,96.666670,2.733910,0.562606,0.470338,1.301471
6,0.335612,0.196910,0.005577,0.035835,0.426065,81.428573,81.428573,73.333338,2.836667,0.294688,0.173629,1.632353
7,0.010841,0.193317,0.001056,0.005535,0.789251,96.428570,96.428570,93.333335,2.437533,0.697554,0.303735,0.882353
8,0.374113,0.248177,0.001625,0.006007,0.370079,99.285715,99.285715,98.333335,3.701727,0.416895,0.273026,1.308824
9,0.603614,0.108497,0.028101,0.143987,0.115801,93.571427,93.571427,90.000000,3.393832,0.276485,0.173063,0.897059
10,0.584665,0.130779,0.026419,0.143020,0.115116,97.857142,97.857142,98.333335,2.761771,0.237405,0.164848,1.154412
11,0.653104,0.135130,0.034599,0.137127,0.040040,83.571433,83.571433,74.999998,2.974543,0.372877,0.229979,0.845588
12,0.460835,0.128001,0.042614,0.176572,0.191978,96.428570,96.428570,91.666665,3.165414,0.486338,0.185632,0.948529
