SubjectID,rateTimeP0,rateTimeP1,rateTimeS0,rateTimeS1,rateTimeOther,passRate,longRate,tightRate,mean_minDistToFlag,mean_lastRiseSec,mean_p1Duration,mean_p1CountPerSection
1,0.289539,0.645536,0.001991,0.006825,0.056110,99.285715,99.285715,100.000000,2.719659,0.869638,0.647855,1.448529
2,0.338156,0.258082,0.000000,0.001006,0.402757,29.516805,29.516805,11.666664,4.155466,0.489520,0.271487,1.352941
3,0.408887,0.340374,0.004540,0.006233,0.239967,95.000002,95.000002,91.666670,2.028715,0.447178,0.273469,1.830882
4,0.648205,0.204190,0.014333,0.065231,0.068041,97.142860,97.142860,95.000005,1.870967,0.447429,0.205535,1.448529
5,0.447994,0.453662,0.015500,0.051835,0.031008,100.000000,100.000000,100.000000,2.258827,0.537886,0.347281,1.901961
6,0.210403,0.393514,0.013431,0.037402,0.345249,100.000000,100.000000,100.000000,2.680091,0.430151,0.218353,2.625000
7,0.358616,0.122766,0.236649,0.242894,0.039074,99.285715,99.285715,100.000000,1.935278,0.268528,0.114841,1.529412
8,0.294953,0.314758,0.141092,0.197912,0.051284,100.000000,100.000000,100.000000,3.108657,0.464410,0.219366,2.117647
9,0.425458,0.091426,0.136417,0.245600,0.101098,85.714288,85.714288,76.666665,3.208870,0.305738,0.127315,1.022059
10,0.270246,0.120155,0.337207,0.238788,0.033604,97.857145,97.857145,95.000005,2.116515,0.275887,0.113287,1.492647
11,0.637571,0.180111,0.026279,0.130611,0.025428,94.285712,94.285712,93.333335,2.198270,0.313922,0.236188,1.095588
12,0.319026,0.424648,0.011201,0.055570,0.189554,100.000000,100.000000,100.000000,2.672373,0.730088,0.372801,1.654412
