time,flag_id,flag_x,flag_y,flag_z,o_x,o_y,o_z,target_dir_x,target_dir_y,target_dir_z,gaze_dir_x,gaze_dir_y,gaze_dir_z,err_deg
0,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0,-1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.01998901,-1,NaN,NaN,NaN,0.001106843,2.985657,-0.01728523,NaN,NaN,NaN,0.06336544,-0.5318294,0.8444775,NaN
0.03387451,-1,NaN,NaN,NaN,0.002150998,2.985657,-0.01728523,NaN,NaN,NaN,0.06336544,-0.5318294,0.8444775,NaN
0.05529785,-1,NaN,NaN,NaN,0.004962489,2.985221,-0.01675618,NaN,NaN,NaN,0.06377819,-0.5354703,0.8421425,NaN
0.07369995,-1,NaN,NaN,NaN,0.006695777,2.984521,-0.01624882,NaN,NaN,NaN,0.06457274,-0.540906,0.8386006,NaN
0.09802246,-1,NaN,NaN,NaN,0.008730128,2.984521,-0.01624882,NaN,NaN,NaN,0.06457274,-0.540906,0.8386006,NaN
0.115509,-1,NaN,NaN,NaN,0.01034233,2.98359,-0.01570106,NaN,NaN,NaN,0.06569549,-0.5423349,0.83759,NaN
0.1387634,-1,NaN,NaN,NaN,0.01366569,2.982364,-0.01508975,NaN,NaN,NaN,0.06796649,-0.5596148,0.8259611,NaN
0.1564331,-1,NaN,NaN,NaN,0.01706374,2.982364,-0.01508975,NaN,NaN,NaN,0.06796649,-0.5596148,0.8259611,NaN
0.1759949,-1,NaN,NaN,NaN,0.01864275,2.980626,-0.014521,NaN,NaN,NaN,0.07416389,-0.6816242,0.7279342,NaN
0.1976318,-1,NaN,NaN,NaN,0.02005973,2.980626,-0.014521,NaN,NaN,NaN,0.07416389,-0.6816242,0.7279342,NaN
0.2160645,-1,NaN,NaN,NaN,0.02153519,2.978525,-0.01388109,NaN,NaN,NaN,0.06159226,-0.7201926,0.6910348,NaN
0.2372131,-1,NaN,NaN,NaN,0.02259244,2.976789,-0.01304185,NaN,NaN,NaN,0.05527847,-0.7303975,0.6807817,NaN
0.2557068,-1,NaN,NaN,NaN,0.02438313,2.976789,-0.01304185,NaN,NaN,NaN,0.05527847,-0.7303975,0.6807817,NaN
0.2738953,-1,NaN,NaN,NaN,0.02538559,2.975839,-0.01210654,NaN,NaN,NaN,0.0522056,-0.6371896,0.7689369,NaN
0.2923584,-1,NaN,NaN,NaN,0.02705072,2.975839,-0.01210654,NaN,NaN,NaN,0.0522056,-0.6371896,0.7689369,NaN
0.3095398,-1,NaN,NaN,NaN,0.02822009,2.975388,-0.01142693,NaN,NaN,NaN,0.03441361,-0.4091063,0.9118376,NaN
0.3336792,-1,NaN,NaN,NaN,0.02865176,2.975388,-0.01142693,NaN,NaN,NaN,0.03441361,-0.4091063,0.9118376,NaN
0.3475647,-1,NaN,NaN,NaN,0.03061679,2.975453,-0.01091158,NaN,NaN,NaN,0.02994644,-0.2777499,0.9601865,NaN
0.3754272,-1,NaN,NaN,NaN,0.03030358,2.975453,-0.01091158,NaN,NaN,NaN,0.02994644,-0.2777499,0.9601865,NaN
0.3893433,-1,NaN,NaN,NaN,0.0281747,2.976117,-0.01041913,NaN,NaN,NaN,0.03030483,-0.2485372,0.9681482,NaN
0.4046326,-1,NaN,NaN,NaN,0.02728336,2.977113,-0.009994984,NaN,NaN,NaN,0.03115937,-0.2399527,0.9702844,NaN
0.4317932,-1,NaN,NaN,NaN,0.02773404,2.977113,-0.009994984,NaN,NaN,NaN,0.03115937,-0.2399527,0.9702844,NaN
0.4450073,-1,NaN,NaN,NaN,0.02805653,2.978595,-0.009628892,NaN,NaN,NaN,0.02980746,-0.2312687,0.9724332,NaN
0.4589539,-1,NaN,NaN,NaN,0.02618679,2.978595,-0.009628892,NaN,NaN,NaN,0.02980746,-0.2312687,0.9724332,NaN
0.4743347,-1,NaN,NaN,NaN,0.02455834,2.980069,-0.009395719,NaN,NaN,NaN,0.02652225,-0.2343659,0.9717866,NaN
0.4944458,-1,NaN,NaN,NaN,0.02207796,2.980069,-0.009395719,NaN,NaN,NaN,0.02652225,-0.2343659,0.9717866,NaN
0.5115356,-1,NaN,NaN,NaN,0.02139138,2.981487,-0.009053349,NaN,NaN,NaN,0.02496157,-0.2354867,0.971557,NaN
0.5291443,-1,NaN,NaN,NaN,0.02059144,2.981487,-0.009053349,NaN,NaN,NaN,0.02496157,-0.2354867,0.971557,NaN
0.545929,-1,NaN,NaN,NaN,0.01879911,2.982867,-0.008897901,NaN,NaN,NaN,0.02598132,-0.2344417,0.9717829,NaN
0.5637512,-1,NaN,NaN,NaN,0.01731987,2.982867,-0.008897901,NaN,NaN,NaN,0.02598132,-0.2344417,0.9717829,NaN
