subject_id,file,total_rows,rows_no_flag,rows_with_flag,rows_flag_err_ok,rows_flag_err_nan,dt_median_sec,discard_sec,usable_rows,usable_seconds_approx,usable_fraction_of_flag_rows,err_mean_deg,err_std_deg,err_min_deg,err_max_deg,err_p50_deg,err_p75_deg,err_p90_deg,err_p95_deg,err_p99_deg,err_iqr_deg,segments_count
1,gaze_error_20260312_213315_1.csv,3003,210,2793,2793,0,0.017489999999998673,1.0,1858,32.496419999997535,0.665234514858575,2.026392222039828,3.0397198016298224,0.04423466,24.39245,1.009299,1.9024847500000002,5.444137999999991,7.6299707499999965,15.750348700000007,0.8931857500000002,18
10,gaze_error_20260308_163958_10.csv,3091,208,2883,2883,0,0.017150000000000887,1.0,1915,32.8422500000017,0.6642386403052376,3.0583555034464753,4.129965421226865,0.1027921,30.69523,1.879094,3.3590975,5.3371426,9.280553799999998,26.8426144,1.4800034999999998,18
11,gaze_error_20260308_191814_11.csv,3253,216,3037,3037,0,0.01641999999999655,1.0,2018,33.135559999993035,0.6644715179453408,1.387848660520317,1.4390274956746558,0.03426402,10.89219,1.0027845000000002,1.5497127499999999,2.3347300999999994,3.756923549999999,9.971536779999996,0.5469282499999997,18
12,gaze_error_20260309_153422_12.csv,2978,191,2787,2787,0,0.017489999999996897,1.0,1860,32.53139999999423,0.667384284176534,2.033777075215054,2.006292183422586,0.1203313,23.58907,1.6405,2.37891,3.4261813000000005,3.9945728499999995,11.03447500000002,0.7384099999999998,18
2,gaze_error_20260304_210714_2.csv,3110,215,2895,2895,0,0.017090000000003158,1.0,1924,32.881160000006076,0.664594127806563,4.545353246777546,3.6791866893980116,0.5439265,21.54962,3.3971025,4.9429215,8.147416600000001,14.533925499999974,20.0547678,1.5458189999999998,18
3,gaze_error_20260304_204036_3.csv,2598,195,2403,2403,0,0.024049999999995464,1.0,1608,38.672399999992706,0.6691635455680399,1.1368811990982588,0.8948035558079027,0.01978234,4.10637,0.8493817,1.435757,2.4231725999999996,3.2926450999999974,3.8284723400000016,0.5863752999999999,18
4,gaze_error_20260306_150814_4.csv,2847,204,2643,2643,0,0.018129999999999313,1.0,1764,31.98131999999879,0.6674233825198638,1.9175731389909298,1.63559718934758,0.03956468,11.15636,1.5829465,2.0643350000000003,2.978861,6.198666799999998,8.26372392,0.4813885000000002,18
5,gaze_error_20260306_173926_5.csv,2804,195,2609,2609,0,0.018489999999999895,1.0,1734,32.06165999999982,0.6646224607129169,3.666027905824683,1.806809289900347,0.2102893,8.318359,3.137311,4.87375175,6.8192949,7.289838899999999,7.827686550000002,1.7364407500000003,18
6,gaze_error_20260307_152012_6.csv,3150,215,2935,2935,0,0.016899999999999693,1.0,1959,33.1070999999994,0.6674616695059625,4.3358431774629915,8.755723372534495,0.07401875,59.00604,2.139912,3.206928,5.1546158,21.837169,51.7237748,1.0670160000000002,18
7,gaze_error_20260307_173201_7.csv,2767,199,2568,2568,0,0.02130000000000365,1.0,1713,36.48690000000625,0.6670560747663551,1.9973768903852889,1.3958342618411228,0.04423466,9.016503,1.579667,2.645601,3.8185642,4.9717953999999995,6.18308404,1.0659340000000002,18
8,gaze_error_20260307_200759_8.csv,2830,197,2633,2633,0,0.018295000000000172,1.0,1751,32.0345450000003,0.6650208887200911,1.8735486151570528,1.3704150639407884,0.06255726,5.767486,1.444285,2.2529440000000003,4.492177,5.0329095,5.3906015,0.8086590000000002,18
9,gaze_error_20260308_141244_9.csv,2819,202,2617,2617,0,0.018489999999999895,1.0,1744,32.24655999999982,0.6664119220481467,2.755735008428899,1.5837397803054907,0.1370561,7.574995,2.3761935000000003,4.00335425,4.9092448,5.55190445,7.08770326,1.6271607499999998,18
