SubjectID,rateTimeP0,rateTimeP1,rateTimeS0,rateTimeS1,rateTimeOther,passRate,longRate,tightRate,mean_minDistToFlag,mean_lastRiseSec,mean_p1Duration,mean_p1CountPerSection
1,0.249558,0.333638,0.000853,0.017877,0.398074,97.857142,97.857142,95.000000,3.241136,0.748025,0.300409,1.610294
2,0.523911,0.223845,0.035012,0.098873,0.118360,37.457982,37.457982,21.666667,3.989200,0.369139,0.258715,1.235294
3,0.551542,0.070596,0.059032,0.116998,0.201832,83.571430,83.571430,63.333338,2.534398,0.626215,0.171420,0.566176
4,0.296353,0.146234,0.218581,0.302223,0.036608,91.428570,91.428570,85.000000,2.509380,0.592284,0.168730,1.213235
5,0.281487,0.326887,0.005105,0.001705,0.384817,98.095240,98.095240,100.000000,2.676600,0.401428,0.265660,1.764706
6,0.139690,0.223913,0.229882,0.336249,0.070266,88.571427,88.571427,85.000000,3.072647,0.435437,0.171949,1.852941
7,0.090770,0.005868,0.485747,0.394126,0.023489,93.571430,93.571430,85.000000,2.445317,0.674964,0.058405,0.139706
8,0.419168,0.165967,0.131869,0.234713,0.048282,100.000000,100.000000,100.000000,3.383613,0.250940,0.168609,1.426471
9,0.169209,0.076633,0.003635,0.015166,0.735357,72.142855,72.142855,61.666668,3.709364,0.755719,0.120481,0.867647
10,0.413072,0.090370,0.188333,0.221181,0.087044,92.142858,92.142858,85.000005,2.781767,0.204046,0.135669,0.963235
11,0.543769,0.175073,0.017024,0.117779,0.146354,92.857142,92.857142,85.000000,2.958896,0.315754,0.249369,1.022059
12,0.408267,0.090216,0.047522,0.279105,0.174890,98.285714,98.285714,96.000000,3.054820,0.425374,0.182225,0.723529
