SubjectID,rateTimeP0,rateTimeP1,rateTimeS0,rateTimeS1,rateTimeOther,passRate,longRate,tightRate,mean_minDistToFlag,mean_lastRiseSec,mean_p1Duration,mean_p1CountPerSection
1,0.024861,0.959940,0.000000,0.000000,0.015198,99.285715,99.285715,100.000000,2.719659,1.359414,1.364244,1.014706
2,0.025009,0.962484,0.000000,0.000000,0.012507,29.516805,29.516805,11.666664,4.155466,1.316377,1.314559,1.044118
3,0.033044,0.951647,0.000425,0.000284,0.014600,95.000002,95.000002,91.666670,2.028715,1.295786,1.241165,1.110294
4,0.027368,0.959728,0.000000,0.000000,0.012904,97.142860,97.142860,95.000005,1.870967,1.363739,1.375593,1.007353
5,0.026661,0.960292,0.000000,0.000000,0.013047,100.000000,100.000000,100.000000,2.258827,1.371491,1.386511,1.000000
6,0.044235,0.941020,0.000566,0.000000,0.014179,100.000000,100.000000,100.000000,2.680091,1.272890,1.179158,1.154412
7,0.026575,0.959223,0.000000,0.000000,0.014202,99.285715,99.285715,100.000000,1.935278,1.361066,1.372370,1.007353
8,0.027700,0.955538,0.000426,0.000000,0.016336,100.000000,100.000000,100.000000,3.108657,1.342482,1.303378,1.058824
9,0.141086,0.833824,0.001847,0.005244,0.018000,85.714288,85.714288,76.666665,3.208870,1.096879,0.907479,1.338235
10,0.060267,0.920324,0.004104,0.001407,0.013898,97.857145,97.857145,95.000005,2.116515,1.183789,1.040269,1.286765
11,0.033022,0.955905,0.000000,0.000000,0.011073,94.285712,94.285712,93.333335,2.198270,1.328640,1.338212,1.029412
12,0.027222,0.954762,0.000426,0.000428,0.017163,100.000000,100.000000,100.000000,2.672373,1.341391,1.330014,1.036765
