SubjectID,rateTimeP0,rateTimeP1,rateTimeS0,rateTimeS1,rateTimeOther,passRate,longRate,tightRate,mean_minDistToFlag,mean_lastRiseSec,mean_p1Duration,mean_p1CountPerSection
1,0.030495,0.955338,0.000000,0.000000,0.014167,97.857142,97.857142,95.000000,3.241136,1.333873,1.322667,1.044118
2,0.041392,0.944753,0.000424,0.000865,0.012567,37.457982,37.457982,21.666667,3.989200,1.272390,1.250164,1.088235
3,0.071913,0.903520,0.002345,0.002783,0.019439,83.571430,83.571430,63.333338,2.534398,1.251605,1.138197,1.147059
4,0.029788,0.956699,0.000000,0.000428,0.013084,91.428570,91.428570,85.000000,2.509380,1.352055,1.359689,1.014706
5,0.031260,0.954560,0.000284,0.000000,0.013895,98.095240,98.095240,100.000000,2.676600,1.336908,1.314025,1.049020
6,0.041279,0.946604,0.000000,0.000424,0.011692,88.571427,88.571427,85.000000,3.072647,1.264938,1.226524,1.117647
7,0.027880,0.959329,0.000213,0.000000,0.012579,93.571430,93.571430,85.000000,2.445317,1.340817,1.357095,1.022059
8,0.029536,0.954799,0.000000,0.000213,0.015453,100.000000,100.000000,100.000000,3.383613,1.348589,1.339924,1.029412
9,0.123915,0.848911,0.000000,0.000644,0.026530,72.142855,72.142855,61.666668,3.709364,1.136920,0.989688,1.242647
10,0.079313,0.895444,0.004263,0.002778,0.018202,92.142858,92.142858,85.000005,2.781767,1.220176,1.047482,1.235294
11,0.056797,0.928106,0.001703,0.001061,0.012333,92.857142,92.857142,85.000000,2.958896,1.289736,1.244253,1.073529
12,0.067804,0.906280,0.002560,0.004594,0.018763,98.285714,98.285714,96.000000,3.054820,1.241714,1.109884,1.182353
