SubjectID,rateTimeP0,rateTimeP1,rateTimeS0,rateTimeS1,rateTimeOther,passRate,longRate,tightRate,mean_minDistToFlag,mean_lastRiseSec,mean_p1Duration,mean_p1CountPerSection
1,0.255452,0.365842,0.000637,0.015753,0.362316,97.857142,97.857142,95.000000,3.241136,0.753697,0.320976,1.661765
2,0.515513,0.261400,0.030304,0.081731,0.111052,37.457982,37.457982,21.666667,3.989200,0.382648,0.291844,1.279412
3,0.582849,0.075615,0.055840,0.106548,0.179148,83.571430,83.571430,63.333338,2.534398,0.646690,0.179257,0.588235
4,0.322317,0.180891,0.189553,0.272403,0.034837,91.428570,91.428570,85.000000,2.509380,0.568224,0.194708,1.308824
5,0.291726,0.374002,0.005105,0.001705,0.327462,98.095240,98.095240,100.000000,2.676600,0.443749,0.327535,1.647059
6,0.153266,0.258885,0.221703,0.300643,0.065503,88.571427,88.571427,85.000000,3.072647,0.443379,0.195728,1.904412
7,0.118046,0.009154,0.475166,0.374991,0.022642,93.571430,93.571430,85.000000,2.445317,0.616369,0.066408,0.183824
8,0.429507,0.208905,0.114258,0.203075,0.044254,100.000000,100.000000,100.000000,3.383613,0.298115,0.226558,1.360294
9,0.188806,0.092683,0.003635,0.013885,0.700992,72.142855,72.142855,61.666668,3.709364,0.747131,0.140975,0.911765
10,0.431059,0.104744,0.180238,0.206242,0.077716,92.142858,92.142858,85.000005,2.781767,0.208117,0.151637,1.000000
11,0.554792,0.194868,0.016172,0.107355,0.126812,92.857142,92.857142,85.000000,2.958896,0.314882,0.267419,1.058824
12,0.430445,0.098509,0.044612,0.262499,0.163935,98.285714,98.285714,96.000000,3.054820,0.414516,0.185174,0.770588
