SubjectID,rateTimeP0,rateTimeP1,rateTimeS0,rateTimeS1,rateTimeOther,passRate,longRate,tightRate,mean_minDistToFlag,mean_lastRiseSec,mean_p1Duration,mean_p1CountPerSection
1,0.056277,0.800027,0.001576,0.013401,0.128719,100.000000,100.000000,100.000000,3.071241,1.091641,0.891920,1.301471
2,0.499983,0.258215,0.007701,0.059700,0.174402,42.857143,42.857143,23.333333,3.347722,0.360649,0.267193,1.375000
3,0.438865,0.416937,0.012787,0.022996,0.108415,95.714285,95.714285,93.333335,2.581331,0.568734,0.443339,1.360294
4,0.494254,0.288937,0.010634,0.063203,0.142973,94.285715,94.285715,86.666670,2.370060,0.676355,0.294221,1.448529
5,0.386352,0.417329,0.000851,0.002979,0.192489,97.142857,97.142857,96.666670,2.733910,0.505214,0.426924,1.389706
6,0.264507,0.147605,0.007488,0.048251,0.532149,81.428573,81.428573,73.333338,2.836667,0.300652,0.160487,1.323529
7,0.006590,0.156988,0.001056,0.005747,0.829619,96.428570,96.428570,93.333335,2.437533,0.664826,0.265917,0.816176
8,0.282411,0.225471,0.001837,0.008558,0.481722,99.285715,99.285715,98.333335,3.701727,0.424330,0.263139,1.264706
9,0.531706,0.103181,0.044969,0.180977,0.139167,93.571427,93.571427,90.000000,3.393832,0.260231,0.171813,0.860294
10,0.505390,0.115109,0.034775,0.184299,0.160427,97.857142,97.857142,98.333335,2.761771,0.210652,0.160739,1.044118
11,0.578613,0.139130,0.047759,0.185498,0.049000,83.571433,83.571433,74.999998,2.974543,0.345749,0.248292,0.801471
12,0.408145,0.112113,0.049855,0.196141,0.233746,96.428570,96.428570,91.666665,3.165414,0.463389,0.175730,0.860294
