SubjectID,rateTimeP0,rateTimeP1,rateTimeS0,rateTimeS1,rateTimeOther,passRate,longRate,tightRate,mean_minDistToFlag,mean_lastRiseSec,mean_p1Duration,mean_p1CountPerSection
1,0.226024,0.671921,0.002991,0.013226,0.085837,99.285715,99.285715,100.000000,2.719659,0.726968,0.545876,1.779412
2,0.252199,0.245801,0.000000,0.001292,0.500708,29.516805,29.516805,11.666664,4.155466,0.451811,0.282477,1.264706
3,0.344762,0.284399,0.005250,0.008361,0.357228,95.000002,95.000002,91.666670,2.028715,0.381304,0.239297,1.794118
4,0.600535,0.196968,0.020865,0.092744,0.088888,97.142860,97.142860,95.000005,1.870967,0.445369,0.211412,1.352941
5,0.369260,0.446542,0.023626,0.109888,0.050684,100.000000,100.000000,100.000000,2.258827,0.366891,0.258650,2.500000
6,0.156807,0.313478,0.014988,0.050124,0.464603,100.000000,100.000000,100.000000,2.680091,0.453048,0.191168,2.367647
7,0.271784,0.093499,0.278915,0.309059,0.046742,99.285715,99.285715,100.000000,1.935278,0.280579,0.110771,1.198529
8,0.218946,0.283606,0.169346,0.263448,0.064655,100.000000,100.000000,100.000000,3.108657,0.471673,0.205485,1.955882
9,0.311371,0.071443,0.168866,0.319572,0.128748,85.714288,85.714288,76.666665,3.208870,0.269711,0.113570,0.926471
10,0.203358,0.097133,0.371394,0.288992,0.039124,97.857145,97.857145,95.000005,2.116515,0.292766,0.105091,1.250000
11,0.549391,0.193248,0.043024,0.180955,0.033383,94.285712,94.285712,93.333335,2.198270,0.273724,0.238814,1.161765
12,0.257041,0.427951,0.012327,0.066765,0.235917,100.000000,100.000000,100.000000,2.672373,0.691273,0.343287,1.772059
