SubjectID,rateTimeP0,rateTimeP1,rateTimeS0,rateTimeS1,rateTimeOther,passRate,longRate,tightRate,mean_minDistToFlag,mean_lastRiseSec,mean_p1Duration,mean_p1CountPerSection
1,0.393463,0.579974,0.000140,0.000430,0.025993,99.285715,99.285715,100.000000,2.719659,1.031267,0.566239,1.485294
2,0.443712,0.488280,0.000000,0.000861,0.067147,29.516805,29.516805,11.666664,4.155466,0.768998,0.389302,1.801471
3,0.518243,0.454394,0.001135,0.002691,0.023536,95.000002,95.000002,91.666670,2.028715,0.808105,0.374457,1.772059
4,0.584121,0.393771,0.001417,0.003252,0.017439,97.142860,97.142860,95.000005,1.870967,0.856027,0.303570,1.882353
5,0.511460,0.472284,0.000756,0.000190,0.015310,100.000000,100.000000,100.000000,2.258827,0.947379,0.453384,1.509804
6,0.358933,0.615674,0.001279,0.000562,0.023553,100.000000,100.000000,100.000000,2.680091,0.976640,0.601088,1.492647
7,0.597815,0.365503,0.007255,0.011948,0.017478,99.285715,99.285715,100.000000,1.935278,0.629151,0.266066,1.992647
8,0.473901,0.485773,0.004961,0.013772,0.021593,100.000000,100.000000,100.000000,3.108657,0.860823,0.474831,1.477941
9,0.701409,0.221878,0.006955,0.038980,0.030778,85.714288,85.714288,76.666665,3.208870,0.502732,0.175009,1.823529
10,0.625839,0.291050,0.039723,0.026086,0.017302,97.857145,97.857145,95.000005,2.116515,0.479624,0.193368,2.198529
11,0.712861,0.262965,0.001138,0.009550,0.013486,94.285712,94.285712,93.333335,2.198270,0.547250,0.219411,1.720588
12,0.451002,0.478483,0.002410,0.008521,0.059585,100.000000,100.000000,100.000000,2.672373,0.828278,0.385541,1.845588
