SubjectID,rateTimeP0,rateTimeP1,rateTimeS0,rateTimeS1,rateTimeOther,passRate,longRate,tightRate,mean_minDistToFlag,mean_lastRiseSec,mean_p1Duration,mean_p1CountPerSection
1,0.422452,0.512162,0.000000,0.001492,0.063894,97.857142,97.857142,95.000000,3.241136,0.915035,0.498164,1.492647
2,0.541678,0.410976,0.003190,0.012215,0.031940,37.457982,37.457982,21.666667,3.989200,0.792728,0.366757,1.610294
3,0.695439,0.220285,0.018735,0.022604,0.042938,83.571430,83.571430,63.333338,2.534398,0.785429,0.213065,1.500000
4,0.603501,0.352275,0.004040,0.025178,0.015005,91.428570,91.428570,85.000000,2.509380,0.621604,0.278374,1.830882
5,0.510822,0.471196,0.002267,0.000000,0.015715,98.095240,98.095240,100.000000,2.676600,0.878239,0.481072,1.470588
6,0.368803,0.607033,0.001593,0.007037,0.015534,88.571427,88.571427,85.000000,3.072647,0.872886,0.535660,1.647059
7,0.616648,0.330770,0.014941,0.023811,0.013830,93.571430,93.571430,85.000000,2.445317,0.681377,0.251852,1.897059
8,0.653114,0.302746,0.001495,0.021272,0.021374,100.000000,100.000000,100.000000,3.383613,0.582266,0.277324,1.595588
9,0.602103,0.278676,0.003003,0.005767,0.110451,72.142855,72.142855,61.666668,3.709364,0.823524,0.237094,1.683824
10,0.707234,0.205943,0.034622,0.027109,0.025093,92.142858,92.142858,85.000005,2.781767,0.437164,0.145635,2.051471
11,0.700158,0.265688,0.004481,0.010282,0.019391,92.857142,92.857142,85.000000,2.958896,0.517234,0.251916,1.522059
12,0.634136,0.233491,0.014164,0.067417,0.050792,98.285714,98.285714,96.000000,3.054820,0.580087,0.193348,1.758824
